"DEBITEK EXPENSE","LL", ,"10", ,"297284", ,"21", ,"297284", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600OO0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600OO0[00000])","Entity[563455] Report(A600OO0[00100])", ,"Entity[563455] Report(A600OO0[00300])", ,"Entity[563455] Report(A600OO0[00500])", ,"Entity[563455] Report(A600OO0[00700])", ,"Entity[563455] Report(A600OO0[00900])", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", ,"64", ,"1144027", ,"30", ,"627840", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"31", ,"250771", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"32", ,"136143", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"35", ,"59254", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"35", ,"63188", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"40", ,"73", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"41", ,"1733", , , , , , , , , , 
"IV SUPPLY COST ON NURSE FLOORS","OO", , , , , ,"44", ,"5025", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600PP0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600PP0[00000])","Entity[563455] Report(A600PP0[00100])", ,"Entity[563455] Report(A600PP0[00300])", ,"Entity[563455] Report(A600PP0[00500])", ,"Entity[563455] Report(A600PP0[00700])", ,"Entity[563455] Report(A600PP0[00900])", , , , , , , , , , 
"GASES OXYGEN ON NURSE FLOORS","PP", ,"53", ,"752", ,"30", ,"349", , , , , , , , , , 
"GASES OXYGEN ON NURSE FLOORS","PP", , , , , ,"31", ,"273", , , , , , , , , , 
"GASES OXYGEN ON NURSE FLOORS","PP", , , , , ,"35", ,"130", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600QA0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600QA0[00000])","Entity[563455] Report(A600QA0[00100])", ,"Entity[563455] Report(A600QA0[00300])", ,"Entity[563455] Report(A600QA0[00500])", ,"Entity[563455] Report(A600QA0[00700])", ,"Entity[563455] Report(A600QA0[00900])", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"50", ,"4010", ,"5", ,"21", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"52", ,"2", ,"10", ,"22", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"54", ,"8", ,"30", ,"67808", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"60", ,"6170", ,"31", ,"2400", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"63", ,"26440", ,"32", ,"851", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"64", ,"3", ,"35", ,"479", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"68", ,"13", ,"35", ,"17224", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"69", ,"17", ,"44", ,"1", , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"70", ,"1", , , , , , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"73", ,"51894", , , , , , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"74", ,"193", , , , , , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"75", ,"22", , , , , , , , , , , , , , 
"ANCILLARY LABOR COSTS","QA", ,"90", ,"33", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600VV0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600VV0[00000])","Entity[563455] Report(A600VV0[00100])", ,"Entity[563455] Report(A600VV0[00300])", ,"Entity[563455] Report(A600VV0[00500])", ,"Entity[563455] Report(A600VV0[00700])", ,"Entity[563455] Report(A600VV0[00900])", , , , , , , , , , 
"DRUGS SOLD","VV", ,"73", ,"11178882", ,"50", ,"22450", , , , , , , , , , 
"DRUGS SOLD","VV", ,"71", ,"4", ,"51", ,"53", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"52", ,"1637", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"53", ,"338116", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"54", ,"94723", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"54", ,"1065", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"54", ,"1182", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"54", ,"708", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"54", ,"9471", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"55", ,"62221", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"57", ,"105803", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"58", ,"143970", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"59", ,"29373", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"60", ,"9887", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"63", ,"814997", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"65", ,"274", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"66", ,"1147", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"69", ,"84188", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"74", ,"1611", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"75", ,"4804", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"75", ,"166", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"75", ,"15613", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"50", ,"11751", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"12957", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"6718", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"46982", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"171", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"515499", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"238838", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"1688675", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"628439", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"24457", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"2492408", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"302184", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"6234", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"2697201", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"3717", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"56775", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"296110", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"17498", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"252", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"106409", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"90", ,"277060", , , , , , , , , , 
"DRUGS SOLD","VV", , , , , ,"91", ,"5092", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600WW0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600WW0[00000])","Entity[563455] Report(A600WW0[00100])", ,"Entity[563455] Report(A600WW0[00300])","Entity[563455] Report(A600WW0[00400])","Entity[563455] Report(A600WW0[00500])", ,"Entity[563455] Report(A600WW0[00700])","Entity[563455] Report(A600WW0[00800])","Entity[563455] Report(A600WW0[00900])", , , , , , , , , , 
"OIG EXCLUSION","WW", ,"194","2001","716", ,"63","2001","716", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600XX0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600XX0[00000])","Entity[563455] Report(A600XX0[00100])", ,"Entity[563455] Report(A600XX0[00300])","Entity[563455] Report(A600XX0[00400])", , ,"Entity[563455] Report(A600XX0[00700])", ,"Entity[563455] Report(A600XX0[00900])", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"5","21797839", , ,"5", ,"21797839", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"16","8951192", , ,"16", ,"8951192", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"9","4787253", , ,"9", ,"4787253", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"4","4462191", , ,"4", ,"4462191", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"5","7492419", , ,"5", ,"7492419", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"6","3871342", , ,"6", ,"3871342", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"5","1471430", , ,"5", ,"1471430", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"5","399404", , ,"5", ,"399404", , , , , , , , , , 
"HOME OFFICE WI OVERHEAD","XX", ,"10","754800", , ,"10", ,"754800", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A700001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 ,"Entity[563455] Report(A700001[00100])","Entity[563455] Report(A700001[00200])", ,"Entity[563455] Report(A700001[00400])","Entity[563455] Report(A700001[00500])","Entity[563455] Report(A700001[00600])", , , , , , , , , , , , , 
 ,"1613187", , , , ,"1613187", , , , , , , , , , , , , 
 ,"15181996","20020", ,"20020", ,"15202016", , , , , , , , , , , , , 
 ,"220638978","29887451", ,"29887451", ,"250526429", , , , , , , , , , , , , 
 ,"133166428","13792137", ,"13792137", ,"146958565", , , , , , , , , , , , , 
 ,"250344001","93909002", ,"93909002","1973011","342279992", , , , , , , , , , , , , 
 ,"620944590","137608610", ,"137608610","1973011","756580189", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A700002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 , , , , , , , , ,"Entity[563455] Report(A700002[00900])", , , , , ,"Entity[563455] Report(A700002[01500])", , , , 
 , , , , , , , , ,"28480328", , , , , ,"28480328", , , , 
 , , , , , , , , ,"15776450", , , , , ,"15776450", , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A700003 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 ,"Entity[563455] Report(A700003[00100])", ,"Entity[563455] Report(A700003[00300])","Entity[563455] Report(A700003[00400])","Entity[563455] Report(A700003[00500])","Entity[563455] Report(A700003[00600])", ,"Entity[563455] Report(A700003[00800])","Entity[563455] Report(A700003[00900])","Entity[563455] Report(A700003[01000])","Entity[563455] Report(A700003[01100])","Entity[563455] Report(A700003[01200])","Entity[563455] Report(A700003[01300])", ,"Entity[563455] Report(A700003[01500])", , , , 
 ,"414300197", ,"414300197","1","619352","435971", ,"1055323","28932938", ,"4268457","619352","435971", ,"34256718", , , , 
 , , , , , , , , ,"1308676", , , , , ,"1308676", , , , 
 , , , , , , , , ,"1273695", , , , , ,"1273695", , , , 
 ,"342279992", ,"342279992","0","511686","360183", ,"871869","34772565","18594115","146353","511686","360183", ,"54384902", , , , 
 , , , , , , , , ,"239570", , , , , ,"239570", , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A800000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst.", , , , , , , , , , , , , , 
"","","","THE AMOUNT IS TO BE ADJUSTED","","A-7", , , , , , , , , , , , , , 
"","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref.", , , , , , , , , , , , , , 
"","1","2","3","4","5", , , , , , , , , , , , , , 
"Entity[563455] Report(A800000[00000])","Entity[563455] Report(A800000[00100])","Entity[563455] Report(A800000[00200])","Entity[563455] Report(A800000[00300])","Entity[563455] Report(A800000[00400])","Entity[563455] Report(A800000[00500])", , , , , , , , , , , , , , 
 ,"A","-24125","MAINTENANCE & REPAIRS","6", , , , , , , , , , , , , , , 
 , ,"-6768074", , , , , , , , , , , , , , , , , 
 , ,"-97664193", , , , , , , , , , , , , , , , , 
 ,"B","-4702513","DIETARY","10", , , , , , , , , , , , , , , 
 ,"B","-17926213","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
 ,"A","1600385", , ,"9", , , , , , , , , , , , , , 
 ,"A","797918", , ,"9", , , , , , , , , , , , , , 
 ,"A","266396", , ,"9", , , , , , , , , , , , , , 
 ,"A","239570", , ,"9", , , , , , , , , , , , , , 
"DEPRECIATION CARRYFOWARD","A","-2286","EMPLOYEE BENEFITS DEPARTMENT","4","9", , , , , , , , , , , , , , 
"GOVERNMENT DGME","A","-19295273","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"TV CAPITAL COSTS","A","-1798","CAP REL COSTS-MVBLE EQUIP","2","9", , , , , , , , , , , , , , 
"CHARITY CONTRIBUTIONS ADMIN/GEN","A","-320200","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"CHARITY CONTRIBUTIONS BLOOD","A","514","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"LOBBYING EXPENSE","A","-29195","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"EKG STRESS PURCHASED FROM CLINIC","A","-911178","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"PENSION","A","124","PURCH  RCVING  STORING","5", , , , , , , , , , , , , , , 
"PENSION","A","1619","ADMITTING","5", , , , , , , , , , , , , , , 
"PENSION","A","68722","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"PENSION","A","521","HOUSEKEEPING","9", , , , , , , , , , , , , , , 
"PENSION","A","26718","DIETARY","10", , , , , , , , , , , , , , , 
"PENSION","A","3909","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"PENSION","A","15470","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"PENSION","A","59133","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"PENSION","A","442","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"PENSION","A","215","RADIOLOGY TECH SCHOOL","23", , , , , , , , , , , , , , , 
"PENSION","A","651","RADIOLOGY TECH SCHOOL","23", , , , , , , , , , , , , , , 
"PENSION","A","2476","CLINICAL PASTORAL ED","23", , , , , , , , , , , , , , , 
"PENSION","A","133684","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"PENSION","A","20963","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"PENSION","A","20472","CORONARY CARE UNIT","32", , , , , , , , , , , , , , , 
"PENSION","A","7933","PEDIATRIC INTENSIVE CAR","35", , , , , , , , , , , , , , , 
"PENSION","A","22180","NEONATAL INTENSIVE CARE UNIT","35", , , , , , , , , , , , , , , 
"PENSION","A","3568","SUBPROVIDER - IPF","40", , , , , , , , , , , , , , , 
"PENSION","A","4801","SUBPROVIDER - IRF","41", , , , , , , , , , , , , , , 
"PENSION","A","8774","SKILLED NURSING FACILITY","44", , , , , , , , , , , , , , , 
"PENSION","A","53971","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"PENSION","A","8345","RECOVERY ROOM","51", , , , , , , , , , , , , , , 
"PENSION","A","8544","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"PENSION","A","6471","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"PENSION","A","22474","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"PENSION","A","7685","ULTRASOUND","54", , , , , , , , , , , , , , , 
"PENSION","A","4180","MAMMOGRAPHY","54", , , , , , , , , , , , , , , 
"PENSION","A","497","PET IMAGINING","54", , , , , , , , , , , , , , , 
"PENSION","A","1947","NUCLEAR MEDICINE","54", , , , , , , , , , , , , , , 
"PENSION","A","4102","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"PENSION","A","3944","CT SCAN","57", , , , , , , , , , , , , , , 
"PENSION","A","3632","MRI","58", , , , , , , , , , , , , , , 
"PENSION","A","17991","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"PENSION","A","50649","LABORATORY","60", , , , , , , , , , , , , , , 
"PENSION","A","9950","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"PENSION","A","7696","INTRAVENOUS THERAPY","64", , , , , , , , , , , , , , , 
"PENSION","A","19521","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"PENSION","A","21445","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"PENSION","A","811","SPEECH PATHOLOGY","68", , , , , , , , , , , , , , , 
"PENSION","A","13567","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"PENSION","A","571","ELECTROENCEPHALOGRAPHY","70", , , , , , , , , , , , , , , 
"PENSION","A","5052","MEDICAL SUPPLIES CHARGED TO PATIENT","71", , , , , , , , , , , , , , , 
"PENSION","A","17756","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"PENSION","A","4957","RENAL DIALYSIS","74", , , , , , , , , , , , , , , 
"PENSION","A","9602","DIAGNOSTIC CLINICS","75", , , , , , , , , , , , , , , 
"PENSION","A","3855","ENDOSCOPY","75", , , , , , , , , , , , , , , 
"PENSION","A","1369","SLEEP LAB","75", , , , , , , , , , , , , , , 
"PENSION","A","740","PARTIAL HOSP PROGRAM","76", , , , , , , , , , , , , , , 
"PENSION","A","1386","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"PENSION","A","1473","AUDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","6468","CANCER CENTER CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","116","CARDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","11717","CARDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","3280","DERMATOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","6687","GI CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","7109","NEUROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","10097","OB GYN CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","12117","OPTHALMOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","1289","ORTHOPEDIC CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","6604","ORTHOPEDIC CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","4759","OTOLARANGOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","8629","PEDIATRIC CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","1520","PHYS MED & REHAB CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","3001","PODIATRY","90", , , , , , , , , , , , , , , 
"PENSION","A","68751","PRIMARY CARE CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","3826","PSYCHIATRY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","1","PULMONARY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","2060","PULMONARY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","3309","SPORTS MEDICINE CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","13937","SURGERY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","5555","TRANSPLANT - HEART","90", , , , , , , , , , , , , , , 
"PENSION","A","4069","TRANSPLANT - LIVER","90", , , , , , , , , , , , , , , 
"PENSION","A","1085","TRANSPLANT - LUNG","90", , , , , , , , , , , , , , , 
"PENSION","A","4501","TRANSPLANT - KIDNEY/PANCREAS","90", , , , , , , , , , , , , , , 
"PENSION","A","1011","TRANSPLANT - BONE MARROW","90", , , , , , , , , , , , , , , 
"PENSION","A","7787","UROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"PENSION","A","23235","EMERGENCY","91", , , , , , , , , , , , , , , 
"PENSION","A","2060","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"PENSION","A","218","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"PENSION","A","218","LIVER ACQUISITION","107", , , , , , , , , , , , , , , 
"PENSION","A","109","LUNG ACQUISITION","108", , , , , , , , , , , , , , , 
"PENSION","A","109","PANCREAS ACQUISITION","109", , , , , , , , , , , , , , , 
"PENSION","A","2429","HLA LAB","112", , , , , , , , , , , , , , , 
"PENSION","A","18889","NON ALLOW OH","194", , , , , , , , , , , , , , , 
"PENSION","A","394","NON ALLOWABLE A&G","194", , , , , , , , , , , , , , , 
"PENSION","A","5240","NON ALLOWABLE THERAPY","194", , , , , , , , , , , , , , , 
"PENSION","A","3594","NON ALLOWABLE O/P PHARMACY","194", , , , , , , , , , , , , , , 
"PENSION","A","3521527","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"PENSION","A","354","DME","194", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-1553627","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-838308","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-10665029","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-111168","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-224451","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-91092","CORONARY CARE UNIT","32", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-25080","PEDIATRIC INTENSIVE CAR","35", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-199220","NEONATAL INTENSIVE CARE UNIT","35", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-49668","SUBPROVIDER - IPF","40", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-83652","SUBPROVIDER - IRF","41", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-199908","SKILLED NURSING FACILITY","44", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-270660","OPERATING ROOM","50", , , , , , , , , , , , , , , 
