"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600BR0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600BR0[00000])","Entity[572875] Report(A600BR0[00100])", ,"Entity[572875] Report(A600BR0[00300])", ,"Entity[572875] Report(A600BR0[00500])", ,"Entity[572875] Report(A600BR0[00700])", ,"Entity[572875] Report(A600BR0[00900])", , , , , , , , , , 
"RESEARCH FB OH & OH RECOVERIES A&G","BR", ,"4", ,"3654004", ,"5", ,"5000004", , , , , , , , , , 
"RESEARCH FB OH & OH RECOVERIES A&G","BR", ,"191", ,"1346000", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600BU0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600BU0[00000])","Entity[572875] Report(A600BU0[00100])", , , , , , , , ,"Entity[572875] Report(A600BU0[01000])", , , , , , , , , 
"INTEREST TO NEW BLDG & FX","BU", , , , , , , , ,"11", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600BW0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600BW0[00000])","Entity[572875] Report(A600BW0[00100])", ,"Entity[572875] Report(A600BW0[00300])","Entity[572875] Report(A600BW0[00400])", , ,"Entity[572875] Report(A600BW0[00700])","Entity[572875] Report(A600BW0[00800])", , , , , , , , , , , 
"CAT SCAN & MRI SALARY","BW", ,"57","5414496", , ,"54","9731857", , , , , , , , , , , 
"CAT SCAN & MRI SALARY","BW", ,"58","4317361", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600BX0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600BX0[00000])","Entity[572875] Report(A600BX0[00100])", ,"Entity[572875] Report(A600BX0[00300])", ,"Entity[572875] Report(A600BX0[00500])", ,"Entity[572875] Report(A600BX0[00700])", ,"Entity[572875] Report(A600BX0[00900])", , , , , , , , , , 
"CAT SCAN & MRI OTHER","BX", ,"57", ,"4256791", ,"54", ,"8212696", , , , , , , , , , 
"CAT SCAN & MRI OTHER","BX", ,"58", ,"3955905", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600BY0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600BY0[00000])","Entity[572875] Report(A600BY0[00100])", ,"Entity[572875] Report(A600BY0[00300])", ,"Entity[572875] Report(A600BY0[00500])", ,"Entity[572875] Report(A600BY0[00700])", ,"Entity[572875] Report(A600BY0[00900])","Entity[572875] Report(A600BY0[01000])", , , , , , , , , 
"WORKING CAPITAL INTEREST TO A&G","BY", ,"5", ,"6894696", ,"1", ,"6894696","9", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600BZ0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600BZ0[00000])","Entity[572875] Report(A600BZ0[00100])", ,"Entity[572875] Report(A600BZ0[00300])", ,"Entity[572875] Report(A600BZ0[00500])", ,"Entity[572875] Report(A600BZ0[00700])", ,"Entity[572875] Report(A600BZ0[00900])","Entity[572875] Report(A600BZ0[01000])", , , , , , , , , 
"DEPRECIATION TO NEW BUILDINGS","BZ", ,"1", ,"21713801", ,"5", ,"252451","9", , , , , , , , , 
"DEPRECIATION TO NEW BUILDINGS","BZ", , , , , ,"6", ,"17798975", , , , , , , , , , 
"DEPRECIATION TO NEW BUILDINGS","BZ", , , , , ,"6", ,"3580670", , , , , , , , , , 
"DEPRECIATION TO NEW BUILDINGS","BZ", , , , , ,"190", ,"81705", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CA0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CA0[00000])","Entity[572875] Report(A600CA0[00100])", ,"Entity[572875] Report(A600CA0[00300])","Entity[572875] Report(A600CA0[00400])", , ,"Entity[572875] Report(A600CA0[00700])","Entity[572875] Report(A600CA0[00800])", , , , , , , , , , , 
"RECLASS ORGAN ACQ SALARIES TO","CA", ,"105","60448", , ,"17","135289", , , , , , , , , , , 
"RECLASS ORGAN ACQ SALARIES TO","CA", ,"106","12953", , , , , , , , , , , , , , , 
"RECLASS ORGAN ACQ SALARIES TO","CA", ,"107","46056", , , , , , , , , , , , , , , 
"RECLASS ORGAN ACQ SALARIES TO","CA", ,"108","12234", , , , , , , , , , , , , , , 
"RECLASS ORGAN ACQ SALARIES TO","CA", ,"109","3598", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CB0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CB0[00000])","Entity[572875] Report(A600CB0[00100])", ,"Entity[572875] Report(A600CB0[00300])", ,"Entity[572875] Report(A600CB0[00500])", ,"Entity[572875] Report(A600CB0[00700])", ,"Entity[572875] Report(A600CB0[00900])", , , , , , , , , , 
"RECLASS ORGAN ACQ OTHER EXPENSE","CB", ,"105", ,"22680", ,"17", ,"50760", , , , , , , , , , 
"RECLASS ORGAN ACQ OTHER EXPENSE","CB", ,"106", ,"4860", , , , , , , , , , , , , , 
"RECLASS ORGAN ACQ OTHER EXPENSE","CB", ,"107", ,"17280", , , , , , , , , , , , , , 
"RECLASS ORGAN ACQ OTHER EXPENSE","CB", ,"108", ,"4590", , , , , , , , , , , , , , 
"RECLASS ORGAN ACQ OTHER EXPENSE","CB", ,"109", ,"1350", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CC0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CC0[00000])","Entity[572875] Report(A600CC0[00100])", ,"Entity[572875] Report(A600CC0[00300])","Entity[572875] Report(A600CC0[00400])", , ,"Entity[572875] Report(A600CC0[00700])","Entity[572875] Report(A600CC0[00800])", , , , , , , , , , , 
"ISLET TRANSPLANT SALARY","CC", ,"111","39813", , ,"109","39813", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CD0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CD0[00000])","Entity[572875] Report(A600CD0[00100])", ,"Entity[572875] Report(A600CD0[00300])", ,"Entity[572875] Report(A600CD0[00500])", ,"Entity[572875] Report(A600CD0[00700])", ,"Entity[572875] Report(A600CD0[00900])", , , , , , , , , , 
"ISLET TRANSPLANT OTHER EXPENSE","CD", ,"111", ,"80786", ,"109", ,"80786", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CE0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CE0[00000])","Entity[572875] Report(A600CE0[00100])", ,"Entity[572875] Report(A600CE0[00300])", ,"Entity[572875] Report(A600CE0[00500])", ,"Entity[572875] Report(A600CE0[00700])", ,"Entity[572875] Report(A600CE0[00900])", , , , , , , , , , 
"ANIMAL CCM/CTSC","CE", ,"191", ,"991650", ,"191", ,"991650", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CF0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CF0[00000])","Entity[572875] Report(A600CF0[00100])", ,"Entity[572875] Report(A600CF0[00300])", ,"Entity[572875] Report(A600CF0[00500])", ,"Entity[572875] Report(A600CF0[00700])", ,"Entity[572875] Report(A600CF0[00900])", , , , , , , , , , 
"PRE-WARD TO RESEARCH ADMIN","CF", ,"191", ,"535709", ,"191", ,"535709", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600CG0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600CG0[00000])","Entity[572875] Report(A600CG0[00100])", ,"Entity[572875] Report(A600CG0[00300])", ,"Entity[572875] Report(A600CG0[00500])", ,"Entity[572875] Report(A600CG0[00700])", ,"Entity[572875] Report(A600CG0[00900])", , , , , , , , , , 
"RESEARCH INFRASTRUCTURE TO BASE","CG", ,"191", ,"9564830", ,"191", ,"9564830", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A700001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 ,"Entity[572875] Report(A700001[00100])","Entity[572875] Report(A700001[00200])", ,"Entity[572875] Report(A700001[00400])","Entity[572875] Report(A700001[00500])","Entity[572875] Report(A700001[00600])", , , , , , , , , , , , , 
 ,"15629908","3428278", ,"3428278", ,"19058186", , , , , , , , , , , , , 
 ,"1611056","281621", ,"281621", ,"1892677", , , , , , , , , , , , , 
 ,"1919004860","59612180", ,"59612180","56030326","1922586714", , , , , , , , , , , , , 
 ,"872277964","142901541", ,"142901541", ,"1015179505", , , , , , , , , , , , , 
 ,"2147483647","206223620", ,"206223620","56030326","2147483647", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A700002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 , , , , , , , , ,"Entity[572875] Report(A700002[00900])", , , , , ,"Entity[572875] Report(A700002[01500])", , , , 
 , , , , , , , , ,"102037249", , , , , ,"102037249", , , , 
 , , , , , , , , ,"50832942", , , , , ,"50832942", , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A700003 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 ,"Entity[572875] Report(A700003[00100])", ,"Entity[572875] Report(A700003[00300])","Entity[572875] Report(A700003[00400])", , ,"Entity[572875] Report(A700003[00700])","Entity[572875] Report(A700003[00800])","Entity[572875] Report(A700003[00900])", ,"Entity[572875] Report(A700003[01100])", ,"Entity[572875] Report(A700003[01300])","Entity[572875] Report(A700003[01400])","Entity[572875] Report(A700003[01500])", , , , 
 , , , , , , , , ,"116466906", ,"-116466906", , , , , , , , 
 , , , , , , , , , , ,"2428326", , , ,"2428326", , , , 
 , , , , , , , , , , ,"2481382", , , ,"2481382", , , , 
 , , , , , , , , , , ,"443084", , , ,"443084", , , , 
 , , , , , , , , , , ,"18767302", ,"657831", ,"19425133", , , , 
 , , , , , , , , , , ,"803737", , , ,"803737", , , , 
 , , , , , , , , , , ,"3973097", , , ,"3973097", , , , 
 , , , , , , , , , , ,"457254", , , ,"457254", , , , 
 , , , , , , , , , , ,"2961338", , , ,"2961338", , , , 
 , , , , , , , , , , ,"4559369", , , ,"4559369", , , , 
 , , , , , , , , , , ,"39406", , , ,"39406", , , , 
 , , , , , , , , , , ,"1022265", , , ,"1022265", , , , 
 , , , , , , , , , , ,"406963", , , ,"406963", , , , 
 , , , , , , , , , , ,"869162", , , ,"869162", , , , 
 , , , , , , , , , , ,"64485", , , ,"64485", , , , 
 , , , , , , , , , , ,"1136825", , , ,"1136825", , , , 
 , , , , , , , , , , ,"325256", , , ,"325256", , , , 
 , , , , , , , , , , ,"144177", , , ,"144177", , , , 
 , , , , , , , , , , ,"4897434", , , ,"4897434", , , , 
 , , , , , , , , , , ,"2518498", , , ,"2518498", , , , 
 , , , , , , , , , , ,"169625", , , ,"169625", , , , 
 , , , , , , , , , , ,"1725071", , , ,"1725071", , , , 
 , , , , , , , , , , ,"16661164", , , ,"16661164", , , , 
 , , , , , , , , , , ,"3840646", , , ,"3840646", , , , 
 , , , , , , , , , , ,"9226997", ,"660042", ,"9887039", , , , 
 , , , , , , , , , , ,"5275608", , , ,"5275608", , , , 
 , , , , , , , , ,"-221627", ,"809001", , , ,"587374", , , , 
 ,"2147483647", ,"2147483647","1", , ,"1072620","1072620", , ,"10514749", ,"2725314","1072620","14312683", , , , 
 , , , , , , , , , , ,"1034347", , , ,"1034347", , , , 
 , , , , , , , , , , ,"60547", , , ,"60547", , , , 
 , , , , , , , , , , ,"343339", , , ,"343339", , , , 
 , , , , , , , , , , ,"3561163", , , ,"3561163", , , , 
 , , , , , , , , , , ,"1650421", , , ,"1650421", , , , 
 , , , , , , , , , , ,"851008", , , ,"851008", , , , 
 , , , , , , , , , , ,"583374", , , ,"583374", , , , 
 , , , , , , , , ,"74173028", , , , , ,"74173028", , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A800000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst.", , , , , , , , , , , , , , 
"","","","THE AMOUNT IS TO BE ADJUSTED","","A-7", , , , , , , , , , , , , , 
"","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref.", , , , , , , , , , , , , , 
"","1","2","3","4","5", , , , , , , , , , , , , , 
"Entity[572875] Report(A800000[00000])","Entity[572875] Report(A800000[00100])","Entity[572875] Report(A800000[00200])","Entity[572875] Report(A800000[00300])","Entity[572875] Report(A800000[00400])","Entity[572875] Report(A800000[00500])", , , , , , , , , , , , , , 
 , ,"-45341762", , , , , , , , , , , , , , , , , 
 , ,"43525804", , , , , , , , , , , , , , , , , 
 ,"B","-20610088","DIETARY","10", , , , , , , , , , , , , , , 
"RECOVERIES","B","-447472","EMPLOYEE BENEFITS DEPARTMENT","4", , , , , , , , , , , , , , , 
"RECOVERIES","B","-1553","PURCH  RCVING  STORING","5", , , , , , , , , , , , , , , 
"RECOVERIES","B","-30605","CASHIERING  A/R","5", , , , , , , , , , , , , , , 
"RECOVERIES","B","-2976612","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"RECOVERIES","B","-4228611","MAINTENANCE & REPAIRS","6", , , , , , , , , , , , , , , 
"RECOVERIES","B","-6567288","PARKING","6", , , , , , , , , , , , , , , 
"RECOVERIES","B","-853868","SECURITY","6", , , , , , , , , , , , , , , 
"RECOVERIES","B","-233694","DANVERS ACC MAINT / PLANT OPERATION","6", , , , , , , , , , , , , , , 
"RECOVERIES","B","-189860","OPERATION OF PLANT","7", , , , , , , , , , , , , , , 
"RECOVERIES","B","-49616","LAUNDRY & LINEN SERVICE","8", , , , , , , , , , , , , , , 
"RECOVERIES","B","-6130","HOUSEKEEPING","9", , , , , , , , , , , , , , , 
"RECOVERIES","B","-3203","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"RECOVERIES","B","-392845","MEDICAL ENGINEERING","14", , , , , , , , , , , , , , , 
"RECOVERIES","B","-281367","PHARMACY","15", , , , , , , , , , , , , , , 
"RECOVERIES","B","-411776","MEDICAL RECORDS & LIBRARY","16", , , , , , , , , , , , , , , 
"RECOVERIES","B","-390810","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"RECOVERIES","B","-8882","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"RECOVERIES","B","-5702","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"RECOVERIES","B","-328625","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"RECOVERIES","B","-1328757","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"RECOVERIES","B","-287118","PROTON BEAM","55", , , , , , , , , , , , , , , 
"RECOVERIES","B","-1112640","LABORATORY","60", , , , , , , , , , , , , , , 
"RECOVERIES","B","-467","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"RECOVERIES","B","-109650","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"RECOVERIES","B","-12690","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"RECOVERIES","B","-25","ELECTROENCEPHALOGRAPHY","70", , , , , , , , , , , , , , , 
"RECOVERIES","B","-14058","CT SCAN","57", , , , , , , , , , , , , , , 
"RECOVERIES","B","-3000","MRI","58", , , , , , , , , , , , , , , 
"RECOVERIES","B","-302500","OTH ANCILLARY SERVICE C","76", , , , , , , , , , , , , , , 
"RECOVERIES","B","-120900","CARDIOLOGY","69", , , , , , , , , , , , , , , 
"RECOVERIES","B","-1126915","CLINIC","90", , , , , , , , , , , , , , , 
"RECOVERIES","B","-29","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"RECOVERIES","B","-6968","OTHER ORGAN ACQUISITION (SPECIFY)","112", , , , , , , , , , , , , , , 
"RECOVERIES","B","-4440113","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"IHP NURSING SCHOOL ADJUSTMENT","A","1006987","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"IHP PHYSICAL THERAPY","A","29898","PARAMED ED - PT IHP","23", , , , , , , , , , , , , , , 
"IHP SPEECH THERAPY","A","464501","PARAMED ED - SPEECH","23", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-47619","EMPLOYEE BENEFITS DEPARTMENT","4", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-211572","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-605","DIETARY","10", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-750","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-15040","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-300","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-270","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-21575","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-75","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-2565","OTH ANCILLARY SERVICE C","76", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-825","CLINIC","90", , , , , , , , , , , , , , , 
"PART B EXP ELIMINATION","A","-46465","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"UCC TAX","A","24014909","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"DANA FARBER JOINT VENTURE ADJUS","A","-267550","MED STAFF ADMIN","18", , , , , , , , , , , , , , , 
"PPMH SUPPORT ELIMINATION","A","-6250","OTHER FUNDS","191", , , , , , , , , , , , , , , 
"NPTC PROTON BEAM DEPRECIATION","A","-221627","NPTC","1","9", , , , , , , , , , , , , , 
"NPTC PROTON BEAM DEPRECIATION","A","-570000","PROTON BEAM","55", , , , , , , , , , , , , , , 
"FELLOWS ELIMINATION","A","-29318","CLINIC","90", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-5355289","CASHIERING  A/R","5", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-19110579","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-664160","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-579226","MEDICAL RECORDS & LIBRARY","16", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-21374425","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-2711436","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-677954","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-1020444","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-1933702","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"OPERATING SUPPORT ELIMINATIONS","A","-2439402","LABORATORY","60", , , , , , , , , , , , , , , 
