"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WL0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WL0)","Entity[563706] Report(A600WL0[00000])","Entity[563706] Report(A600WL0[00100])", ,"Entity[563706] Report(A600WL0[00300])", ,"Entity[563706] Report(A600WL0[00500])", ,"Entity[563706] Report(A600WL0[00700])", ,"Entity[563706] Report(A600WL0[00900])"
"Line(00100)","TEACHING PHYSICIANS I&R","WL", ,"5", ,"154998", ,"22", ,"154998"
"Line(00200)","TEACHING PHYSICIANS I&R","WL", ,"16", ,"107523", ,"22", ,"107523"
"Line(00300)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"765598", ,"40", ,"765598"
"Line(00400)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"229736", ,"76", ,"229736"
"Line(00500)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"14164", ,"69", ,"14164"
"Line(00600)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"32483", ,"76", ,"32483"
"Line(00700)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"182453", ,"76", ,"182453"
"Line(00800)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"4059", ,"76", ,"4059"
"Line(00900)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"74790", ,"76", ,"74790"
"Line(01000)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"21405", ,"76", ,"21405"
"Line(01100)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"171783", ,"76", ,"171783"
"Line(01200)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"90133", ,"76", ,"90133"
"Line(01300)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"2827", ,"76", ,"2827"
"Line(01400)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"135632", ,"90", ,"135632"
"Line(01500)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"7342", ,"90", ,"7342"
"Line(01600)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"24951", ,"90", ,"24951"
"Line(01700)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"67530", ,"90", ,"67530"
"Line(01800)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"6982", ,"90", ,"6982"
"Line(01900)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"76558", ,"90", ,"76558"
"Line(02000)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"11988", ,"90", ,"11988"
"Line(02100)","TEACHING PHYSICIANS I&R","WL", ,"22", ,"44877", ,"90", ,"44877"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WN0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WN0)","Entity[563706] Report(A600WN0[00000])","Entity[563706] Report(A600WN0[00100])", ,"Entity[563706] Report(A600WN0[00300])","Entity[563706] Report(A600WN0[00400])","Entity[563706] Report(A600WN0[00500])", ,"Entity[563706] Report(A600WN0[00700])","Entity[563706] Report(A600WN0[00800])","Entity[563706] Report(A600WN0[00900])"
"Line(00100)","NEUROPSYCH RECLASS","WN", ,"40","49271", , ,"69","49271"
"Line(00200)","NEUROPSYCH RECLASS","WN", ,"40", ,"3658", ,"69", ,"3658"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WO0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WO0)","Entity[563706] Report(A600WO0[00000])","Entity[563706] Report(A600WO0[00100])", ,"Entity[563706] Report(A600WO0[00300])","Entity[563706] Report(A600WO0[00400])","Entity[563706] Report(A600WO0[00500])", ,"Entity[563706] Report(A600WO0[00700])","Entity[563706] Report(A600WO0[00800])","Entity[563706] Report(A600WO0[00900])"
"Line(00100)","CEAT RECLASS","WO", ,"40","366747", , ,"69","366747"
"Line(00200)","CEAT RECLASS","WO", ,"40", ,"35044", ,"69", ,"35044"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WP0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WP0)","Entity[563706] Report(A600WP0[00000])","Entity[563706] Report(A600WP0[00100])", ,"Entity[563706] Report(A600WP0[00300])", ,"Entity[563706] Report(A600WP0[00500])", ,"Entity[563706] Report(A600WP0[00700])", ,"Entity[563706] Report(A600WP0[00900])","Entity[563706] Report(A600WP0[01000])"
"Line(00100)","DEPRECIATION","WP", ,"5", ,"205813", ,"1", ,"205813","9"
"Line(00200)","DEPRECIATION","WP", ,"7", ,"446394", ,"1", ,"446394","9"
"Line(00300)","DEPRECIATION","WP", ,"10", ,"556", ,"1", ,"556","9"
"Line(00400)","DEPRECIATION","WP", ,"13", ,"3004", ,"1", ,"3004","9"
"Line(00500)","DEPRECIATION","WP", ,"40", ,"486", ,"1", ,"486","9"
"Line(00600)","DEPRECIATION","WP", ,"69", ,"6730", ,"1", ,"6730","9"
"Line(00700)","DEPRECIATION","WP", ,"70", ,"1633", ,"1", ,"1633","9"
"Line(00800)","DEPRECIATION","WP", ,"76", ,"289", ,"1", ,"289","9"
"Line(00900)","DEPRECIATION","WP", ,"76", ,"16370", ,"1", ,"16370","9"
"Line(01000)","DEPRECIATION","WP", ,"90", ,"327", ,"1", ,"327","9"
"Line(01100)","DEPRECIATION","WP", ,"90", ,"68", ,"1", ,"68","9"
"Line(01200)","DEPRECIATION","WP", ,"90", ,"179", ,"1", ,"179","9"
"Line(01300)","DEPRECIATION","WP", ,"90", ,"17144", ,"1", ,"17144","9"
"Line(01400)","DEPRECIATION","WP", ,"90", ,"5099", ,"1", ,"5099","9"
"Line(01500)","DEPRECIATION","WP", ,"90", ,"122426", ,"1", ,"122426","9"
"Line(01600)","DEPRECIATION","WP", ,"194", ,"55198", ,"1", ,"55198","9"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WQ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WQ0)","Entity[563706] Report(A600WQ0[00000])","Entity[563706] Report(A600WQ0[00100])", ,"Entity[563706] Report(A600WQ0[00300])","Entity[563706] Report(A600WQ0[00400])","Entity[563706] Report(A600WQ0[00500])", ,"Entity[563706] Report(A600WQ0[00700])","Entity[563706] Report(A600WQ0[00800])","Entity[563706] Report(A600WQ0[00900])"
"Line(00100)","WPIC-CAFETERIA","WQ", ,"11","107551", , ,"10","107551"
"Line(00200)","WPIC-CAFETERIA","WQ", ,"11", ,"19828", ,"10", ,"19828"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600YY0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600YY0)","Entity[563706] Report(A600YY0[00000])","Entity[563706] Report(A600YY0[00100])", ,"Entity[563706] Report(A600YY0[00300])","Entity[563706] Report(A600YY0[00400])","Entity[563706] Report(A600YY0[00500])", ,"Entity[563706] Report(A600YY0[00700])","Entity[563706] Report(A600YY0[00800])","Entity[563706] Report(A600YY0[00900])"
"Line(00100)","POST TRANSPLANT SALARY","YY", ,"194","103653", , ,"112","103653"
"Line(00200)","POST TRANSPLANT SALARY","YY", ,"194","355284", , ,"106","355284"
"Line(00300)","POST TRANSPLANT SALARY","YY", ,"194","512179", , ,"108","512179"
"Line(00400)","POST TRANSPLANT SALARY","YY", ,"194","371105", , ,"60","371105"
"Line(00500)","POST TRANSPLANT SALARY","YY", ,"194","368884", , ,"106","368884"
"Line(00600)","POST TRANSPLANT SALARY","YY", ,"194", ,"8189", ,"112", ,"8189"
"Line(00700)","POST TRANSPLANT SALARY","YY", ,"194", ,"26689", ,"106", ,"26689"
"Line(00800)","POST TRANSPLANT SALARY","YY", ,"194", ,"38395", ,"108", ,"38395"
"Line(00900)","POST TRANSPLANT SALARY","YY", ,"194", ,"26815", ,"60", ,"26815"
"Line(01000)","POST TRANSPLANT SALARY","YY", ,"194", ,"26998", ,"106", ,"26998"
"Line(01100)","POST TRANSPLANT SALARY","YY", ,"194", ,"7682", ,"112", ,"7682"
"Line(01200)","POST TRANSPLANT SALARY","YY", ,"194", ,"30408", ,"106", ,"30408"
"Line(01300)","POST TRANSPLANT SALARY","YY", ,"194", ,"78949", ,"108", ,"78949"
"Line(01400)","POST TRANSPLANT SALARY","YY", ,"194", ,"50488", ,"60", ,"50488"
"Line(01500)","POST TRANSPLANT SALARY","YY", ,"106", ,"67136", ,"194", ,"67136"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600ZZ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600ZZ0)","Entity[563706] Report(A600ZZ0[00000])","Entity[563706] Report(A600ZZ0[00100])", ,"Entity[563706] Report(A600ZZ0[00300])", ,"Entity[563706] Report(A600ZZ0[00500])", ,"Entity[563706] Report(A600ZZ0[00700])", ,"Entity[563706] Report(A600ZZ0[00900])"
"Line(00100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"169573", ,"30", ,"169573"
"Line(00200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"103687", ,"31", ,"103687"
"Line(00300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"38744", ,"32", ,"38744"
"Line(00400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"22859", ,"34", ,"22859"
"Line(00500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"38249", ,"35", ,"38249"
"Line(00600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"30343", ,"35", ,"30343"
"Line(00700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"3451", ,"40", ,"3451"
"Line(00800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"4111", ,"41", ,"4111"
"Line(00900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"1057", ,"44", ,"1057"
"Line(01000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"66505468", ,"50", ,"66505468"
"Line(01100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"201", ,"50", ,"201"
"Line(01200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"20792", ,"51", ,"20792"
"Line(01300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"235415", ,"53", ,"235415"
"Line(01400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"8651352", ,"54", ,"8651352"
"Line(01500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"9178", ,"54", ,"9178"
"Line(01600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"3018", ,"54", ,"3018"
"Line(01700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"143", ,"55", ,"143"
"Line(01800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"7054", ,"56", ,"7054"
"Line(01900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"12960", ,"56", ,"12960"
"Line(02000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"42960", ,"57", ,"42960"
"Line(02100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"5474", ,"60", ,"5474"
"Line(02200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"5220", ,"64", ,"5220"
"Line(02300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"88980", ,"65", ,"88980"
"Line(02400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"215", ,"65", ,"215"
"Line(02500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"27795625", ,"69", ,"27795625"
"Line(02600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"160839", ,"69", ,"160839"
"Line(02700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"45435", ,"71", ,"45435"
"Line(02800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"1309873", ,"75", ,"1309873"
"Line(02900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"443519", ,"75", ,"443519"
"Line(03000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"465165", ,"76", ,"465165"
"Line(03100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"288", ,"76", ,"288"
"Line(03200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"4693", ,"90", ,"4693"
"Line(03300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"109", ,"90", ,"109"
"Line(03400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"113", ,"90", ,"113"
"Line(03500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"23", ,"90", ,"23"
"Line(03600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"717", ,"90", ,"717"
"Line(03700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"269", ,"90", ,"269"
"Line(03800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"239", ,"90", ,"239"
"Line(03900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"20", ,"90", ,"20"
"Line(04000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"48768", ,"91", ,"48768"
"Line(04100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"4565169", ,"112", ,"4565169"
"Line(04200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"161", ,"194", ,"161"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[563706] Report(A700001)", ,"Entity[563706] Report(A700001[00100])","Entity[563706] Report(A700001[00200])", ,"Entity[563706] Report(A700001[00400])","Entity[563706] Report(A700001[00500])","Entity[563706] Report(A700001[00600])"
"Line(00100)", ,"37838715", , , ,"123109","37715606"
"Line(00200)", ,"17113031","177127", ,"177127", ,"17290158"
"Line(00300)", ,"1147146491","18450074", ,"18450074", ,"1165596565"
"Line(00400)", ,"29217579","5415585", ,"5415585", ,"34633164"
"Line(00500)", ,"425227639","17220730", ,"17220730","13800","442434569"
"Line(00600)", ,"473083220","175609", ,"175609","33479090","439779739"
"Line(00700)", ,"94593075","3034240", ,"3034240","36532","97590783"
"Line(00800)", ,"2147483647","44473365", ,"44473365","33652531","2147483647"
"Line(00900)", ,"19338267","25971333", ,"25971333", ,"45309600"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A700003 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[563706] Report(A700003)", ,"Entity[563706] Report(A700003[00100])","Entity[563706] Report(A700003[00200])","Entity[563706] Report(A700003[00300])","Entity[563706] Report(A700003[00400])","Entity[563706] Report(A700003[00500])","Entity[563706] Report(A700003[00600])", ,"Entity[563706] Report(A700003[00800])","Entity[563706] Report(A700003[00900])", , ,"Entity[563706] Report(A700003[01200])","Entity[563706] Report(A700003[01300])", ,"Entity[563706] Report(A700003[01500])"
"Line(00100)", ,"846151588", ,"846151588","0","199612","509334", ,"708946","32863245", , ,"199612","509334", ,"33572191"
"Line(00101)", ,"18033890", ,"18033890","0","4254","10855", ,"15109","496637", , ,"4254","10855", ,"511746"
"Line(00102)", ,"107461509", ,"107461509","0","25351","64685", ,"90036","424433", , ,"25351","64685", ,"514469"
"Line(00103)", ,"159408922", ,"159408922","0","37605","95955", ,"133560","1709461", , ,"37605","95955", ,"1843021"
"Line(00104)", ,"315272527", ,"315272527","0","74375","189776", ,"264151","7403286", , ,"74375","189776", ,"7667437"
"Line(00105)", ,"135514408", ,"135514408","0","31969","81572", ,"113541","5394215", , ,"31969","81572", ,"5507756"
"Line(00106)", ,"27264780", ,"27264780","0","6432","16412", ,"22844","1057943", , ,"6432","16412", ,"1080787"
"Line(00107)", ,"88562439", ,"88562439","0","20892","53310", ,"74202","1750858", , ,"20892","53310", ,"1825060"
"Line(00200)", ,"476930149","7326547","469603602","0","110782","282675", ,"393457","30611473", , ,"110782","282675", ,"31004930"
"Line(00201)", ,"60440374", ,"60440374","0","14258","36381", ,"50639","749356", , ,"14258","36381", ,"799995"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A800000 ","-------------","-------------","-----------",""
"","DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst."
"","","","","THE AMOUNT IS TO BE ADJUSTED","","A-7"
"","","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref."
"","","1","2","3","4","5"
"Entity[563706] Report(A800000)","Entity[563706] Report(A800000[00000])","Entity[563706] Report(A800000[00100])","Entity[563706] Report(A800000[00200])","Entity[563706] Report(A800000[00300])","Entity[563706] Report(A800000[00400])","Entity[563706] Report(A800000[00500])"
"Line(01000)", , ,"-220051237"
"Line(01200)", , ,"-142881822"
"Line(03099)", ,"B","-15665"
"Line(03300)","INTEREST EXPENSE","A","-24994","OPERATING ROOM","50"
"Line(03301)","INTEREST EXPENSE","A","-6105","LABORATORY","60"
"Line(03302)","INTEREST EXPENSE","A","-13749","RESPIRATORY THERAPY","65"
"Line(03303)","INTEREST EXPENSE","A","-53092","GASTRO INTESTINAL SVCS","69"
"Line(03304)","INTEREST EXPENSE","A","-6754","SOUTH HILLS SURGERY","75"
"Line(03305)","INTEREST EXPENSE","A","-81480","CLINICAL GI LAB","76"
"Line(03306)","INTEREST EXPENSE","A","-5641","CLINIC","90"
"Line(03307)","INTEREST INCOME","B","-4486","OTHER ADMIN AND GENERAL","5"
"Line(03308)","INTEREST INCOME","B","1","ADMITTING & COLLECTIONS","5"
"Line(03309)","INTEREST INCOME","B","-369329","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(03310)","PATIENT TELEPHONES","A","-154426","OTHER ADMIN AND GENERAL","5"
"Line(03311)","PARKING INCOME","B","-6429824","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(03312)","PARKING INCOME","B","-5472","ADMITTING & COLLECTIONS","5"
"Line(03313)","PARKING INCOME","B","-961384","OTHER ADMIN AND GENERAL","5"
"Line(03315)","PARKING INCOME","B","-1894015","OPERATION OF PLANT - SHY","7"
"Line(03316)","PARKING INCOME","B","-304532","OPERATION OF PLANT - HCC","7"
"Line(03317)","PARKING INCOME","B","30","HBC CLINICS","90"
"Line(03400)","TUITION REIMBURSMENT","B","-152845","PARAMED ED PERFUSION","23"
"Line(03500)","EMPLOYEE BENEFITS/DAY CARE","A","-190120","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(03600)","CHARITABLE CONTRIBUTIONS","A","-5576447","OTHER ADMIN AND GENERAL","5"
"Line(03601)","CHARITABLE CONTRIBUTIONS","A","-2240004","HILLMAN CANCER CENTER","90"
"Line(03700)","CAFETERIA/DIETARY INCOME","B","-1672150","DIETARY","10"
"Line(03701)","CAFETERIA/DIETARY INCOME","B","-1730442","DIETARY - MUH","10"
"Line(03702)","CAFETERIA/DIETARY INCOME","B","-7632817","CAFETERIA","11"
"Line(03800)","OLD CAP RELATED COSTS BLDG & FI","A","9392","CAP REL COSTS-BLDG & FIXT","1","9"
"Line(03900)","PITT SUPPORT","A","-9400000","OTHER ADMIN AND GENERAL","5"
"Line(04000)","ADJUST E & E RENT TO COST","A","-39343","OTHER ADMIN AND GENERAL","5"
"Line(04001)","ADJUST E & E RENT TO COST","A","-5870","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04002)","ADJUST E & E RENT TO COST","A","-15992","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04003)","ADJUST E & E RENT TO COST","A","-22279","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04004)","ADJUST E & E RENT TO COST","A","-66219","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04005)","ADJUST E & E RENT TO COST","A","-25859","LABORATORY","60"
"Line(04006)","ADJUST E & E RENT TO COST","A","-3162","OCCUPATIONAL THERAPY","67"
"Line(04007)","ADJUST E & E RENT TO COST","A","-60950","EYE EAR NOSE AND THROAT","76"
"Line(04008)","ADJUST E & E RENT TO COST","A","-103690","EYE EAR NOSE AND THROAT","76"
"Line(04009)","ADJUST E & E RENT TO COST","A","-139508","EYE EAR NOSE AND THROAT","76"
"Line(04100)","SYRIA LOT","A","-89565","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(04200)","IROQUOIS","A","1121","OTHER ADMIN AND GENERAL","5"
"Line(04201)","IROQUOIS","A","1439","OTHER ADMIN AND GENERAL","5"
"Line(04300)","FORBES TOWER","A","-33459","OTHER ADMIN AND GENERAL","5"
"Line(04400)","IROQUOIS","A","2271","OPERATION OF PLANT","7"
"Line(04401)","IROQUOIS","A","108","OPERATION OF PLANT","7"
"Line(04500)","4601 BAUM","A","-33065","MEDICAL RECORDS & LIBRARY","16"
"Line(04600)","450 MELWOOD","A","283447","MEDICAL RECORDS & LIBRARY","16"
"Line(04700)","MEDICAL ARTS BUILDING","A","-11773","SOCIAL SERVICE","17"
"Line(04800)","4601 BAUM","A","-23478","RADIOLOGY-DIAGNOSTIC","54"
"Line(04801)","MONROEVILLE  - 600 OXFORD","A","184546","MONROE/MURRYSVILE RAD","54"
"Line(04802)","SOUTH HILLS SATELLITE","A","-213496","SOUTH HILLS SURGERY","75"
"Line(04803)","MEDICAL ARTS BUILDING","A","-17455","CLINICAL GI LAB","76"
"Line(04804)","SOUTH HILLS SATELLITE","A","-33891","CLINIC","90"
"Line(04805)","MISCELLANEOUS INCOME","B","-54","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(04806)","MISCELLANEOUS INCOME","B","-7058","ADMITTING & COLLECTIONS","5"
"Line(04807)","MISCELLANEOUS INCOME","B","-1262782","OTHER ADMIN AND GENERAL","5"
"Line(04808)","MISCELLANEOUS INCOME","B","-6193","MAINTENANCE & REPAIRS","6"
"Line(04809)","MISCELLANEOUS INCOME","B","-34888","OPERATION OF PLANT","7"
"Line(04810)","MISCELLANEOUS INCOME","B","-3973","OPERATION OF PLANT - SHY","7"
"Line(04811)","MISCELLANEOUS INCOME","B","-5732","LAUNDRY & LINEN SERVICE","8"
"Line(04812)","MISCELLANEOUS INCOME","B","-12697","DIETARY","10"
"Line(04813)","MISCELLANEOUS INCOME","B","-5625","DIETARY - MUH","10"
"Line(04814)","MISCELLANEOUS INCOME","B","-50274","NURSING ADMINISTRATION","13"
"Line(04815)","MISCELLANEOUS INCOME","B","-28564","TRAUMA SERVICES","13"
"Line(04816)","MISCELLANEOUS INCOME","B","-97407","PHARMACY","15"
"Line(04817)","MISCELLANEOUS INCOME","B","-27354","MEDICAL RECORDS & LIBRARY","16"
"Line(04818)","MISCELLANEOUS INCOME","B","-4007","ESCORT SERVICES","18"
"Line(04819)","MISCELLANEOUS INCOME","B","-46770","HCC - CLINICAL","18"
"Line(04820)","MISCELLANEOUS INCOME","B","-22942","NURSING SCHOOL","20"
"Line(04821)","MISCELLANEOUS INCOME","B","-5473","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04822)","MISCELLANEOUS INCOME","B","-8624","PARAMED ED PHARMACY","23"
"Line(04823)","MISCELLANEOUS INCOME","B","-81905","ADULTS & PEDIATRICS","30"
"Line(04824)","MISCELLANEOUS INCOME","B","-17049","OPERATING ROOM","50"
"Line(04825)","MISCELLANEOUS INCOME","B","216","PAIN CENTER","53"
"Line(04826)","MISCELLANEOUS INCOME","B","-87475","RADIOLOGY-DIAGNOSTIC","54"
"Line(04827)","MISCELLANEOUS INCOME","B","-333","ULTRA SOUND","54"
"Line(04828)","MISCELLANEOUS INCOME","B","-4460","NUCLEAR CARDIOLOGY","56"
"Line(04829)","MISCELLANEOUS INCOME","B","-128016","LABORATORY","60"
"Line(04830)","MISCELLANEOUS INCOME","B","-200","BONE MARROW PC & T","60"
"Line(04831)","MISCELLANEOUS INCOME","B","-900","NON-INV PER VASC LAB","60"
"Line(04832)","MISCELLANEOUS INCOME","B","-4570","RESPIRATORY THERAPY","65"
"Line(04833)","MISCELLANEOUS INCOME","B","-7539","HEART CATHERIZATION","69"
