"Entity[572851] Report(A600AD0[00000])","Entity[572851] Report(A600AD0[00100])", ,"Entity[572851] Report(A600AD0[00300])","Entity[572851] Report(A600AD0[00400])","Entity[572851] Report(A600AD0[00500])", ,"Entity[572851] Report(A600AD0[00700])","Entity[572851] Report(A600AD0[00800])","Entity[572851] Report(A600AD0[00900])", , , , , , , , , , 
"FILE 608 PHYSICIAN TRANSPLANT COST","AD", ,"105","285182","58296", ,"90","506728", , , , , , , , , , , 
"FILE 608 PHYSICIAN TRANSPLANT COST","AD", ,"106","68349","13972", ,"90","164228", , , , , , , , , , , 
"FILE 608 PHYSICIAN TRANSPLANT COST","AD", ,"107","303284","28425", ,"5", ,"103584", , , , , , , , , , 
"FILE 608 PHYSICIAN TRANSPLANT COST","AD", ,"109","14141","2891", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AE0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AE0[00000])","Entity[572851] Report(A600AE0[00100])", ,"Entity[572851] Report(A600AE0[00300])", ,"Entity[572851] Report(A600AE0[00500])", ,"Entity[572851] Report(A600AE0[00700])", ,"Entity[572851] Report(A600AE0[00900])", , , , , , , , , , 
"FILE 624 INTERCO SPEC MIDLEVEL REVER","AE", ,"90", ,"260000", ,"5", ,"260000", , , , , , , , , , 
"FILE 624 INTERCO SPEC MIDLEVEL REVER","AE", ,"90", ,"228500", ,"90", ,"216000", , , , , , , , , , 
"FILE 624 INTERCO SPEC MIDLEVEL REVER","AE", ,"90", ,"362500", ,"90", ,"12500", , , , , , , , , , 
"FILE 624 INTERCO SPEC MIDLEVEL REVER","AE", , , , , ,"90", ,"362500", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AF0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AF0[00000])","Entity[572851] Report(A600AF0[00100])", ,"Entity[572851] Report(A600AF0[00300])", ,"Entity[572851] Report(A600AF0[00500])", ,"Entity[572851] Report(A600AF0[00700])", ,"Entity[572851] Report(A600AF0[00900])", , , , , , , , , , 
"FILE 624 REVERSE ANESTHEISIA CONTRAC","AF", ,"23", ,"632952", ,"5", ,"632952", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AG0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AG0[00000])","Entity[572851] Report(A600AG0[00100])", ,"Entity[572851] Report(A600AG0[00300])", ,"Entity[572851] Report(A600AG0[00500])", ,"Entity[572851] Report(A600AG0[00700])", ,"Entity[572851] Report(A600AG0[00900])","Entity[572851] Report(A600AG0[01000])", , , , , , , , , 
"FOLDER 620 INTEREST EXPENSE","AG", ,"1", ,"2004505", ,"5", ,"4787169","11", , , , , , , , , 
"FOLDER 620 INTEREST EXPENSE","AG", ,"2", ,"2782664", , , , ,"11", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AH0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AH0[00000])","Entity[572851] Report(A600AH0[00100])", ,"Entity[572851] Report(A600AH0[00300])","Entity[572851] Report(A600AH0[00400])", , ,"Entity[572851] Report(A600AH0[00700])","Entity[572851] Report(A600AH0[00800])", , , , , , , , , , , 
"PTO EXPENSE","AH", , , , , ,"4","5569913", , , , , , , , , , , 
"PTO EXPENSE","AH", ,"5","163957", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"7","57344", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"8","2514", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"9","52612", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"10","10714", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"13","61824", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"14","16928", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"15","154825", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"16","48355", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"17","78874", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"18","1673", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"20","29893", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"22","253145", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"23","3653", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"23","4091", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"23","6086", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"23","8239", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"23","1141", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"23","3891", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"30","632252", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"31","105374", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"31","143677", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"32","33770", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"32","20394", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","77346", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","56899", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","34695", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","62858", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","3567", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","27640", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"34","36624", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"40","80952", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"41","12490", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"50","174550", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"50","16293", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"51","63917", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"52","80729", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"53","247012", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"54","113172", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"55","13024", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"56","7636", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"57","17116", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"58","12777", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"59","45221", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"60","152160", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"60","7042", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"60","3909", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"65","100016", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"66","51661", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"69","21034", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"71","6647", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"74","19372", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"75","66764", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"76","2730", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"76","941", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"76","54007", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"77","4676", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","23892", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","76019", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","63502", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","139042", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","367695", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","9935", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","650", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","39561", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","11027", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","55496", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","4031", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","14727", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","997", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","94676", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","32028", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","33055", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","36107", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","15559", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","10484", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","50117", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","6723", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","585", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","1075", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"90","4664", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"91","186444", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"91","64983", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"91","27016", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"91","5592", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"92","26557", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"92","12398", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"95","87051", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"105","44563", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"106","5577", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"107","9836", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"190","116", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"191","227097", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"192","115838", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"192","596", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","8959", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","15023", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","30473", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","4197", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","6315", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","880", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","14431", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","10261", , , , , , , , , , , , , , , 
"PTO EXPENSE","AH", ,"194","3360", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A700001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 ,"Entity[572851] Report(A700001[00100])","Entity[572851] Report(A700001[00200])", ,"Entity[572851] Report(A700001[00400])","Entity[572851] Report(A700001[00500])","Entity[572851] Report(A700001[00600])", , , , , , , , , , , , , 
 ,"5362034","5285000", ,"5285000", ,"10647034", , , , , , , , , , , , , 
 ,"6756508","332674", ,"332674", ,"7089182", , , , , , , , , , , , , 
 ,"694425966", , , ,"12173346","682252620", , , , , , , , , , , , , 
 ,"10519190","47355609", ,"47355609", ,"57874799", , , , , , , , , , , , , 
 ,"295493394", , , ,"18761582","276731812", , , , , , , , , , , , , 
 ,"4969333", , , ,"659825","4309508", , , , , , , , , , , , , 
 ,"1017526425","52973283", ,"52973283","31594753","1038904955", , , , , , , , , , , , , 
 , , , , ,"-192224","192224", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A700003 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Acquisitions","","","Disposals","","Fully", , , , , , , , , , 
"","","","Beginning","","","","and","Ending","Depreciated", , , , , , , , , , 
"","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets", , , , , , , , , , 
"","","","1","2","3","4","5","6","7", , , , , , , , , , 
 , , , ,"Entity[572851] Report(A700003[00400])", , , , ,"Entity[572851] Report(A700003[00900])", ,"Entity[572851] Report(A700003[01100])","Entity[572851] Report(A700003[01200])", , ,"Entity[572851] Report(A700003[01500])", , , , 
 , , , ,"1", , , , ,"24408113", ,"2165385","1150633", , ,"27724131", , , , 
 , , , , , , , , ,"39131912", ,"2782664","1246519", , ,"43161095", , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A800000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst.", , , , , , , , , , , , , , 
"","","","THE AMOUNT IS TO BE ADJUSTED","","A-7", , , , , , , , , , , , , , 
"","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref.", , , , , , , , , , , , , , 
"","1","2","3","4","5", , , , , , , , , , , , , , 
"Entity[572851] Report(A800000[00000])","Entity[572851] Report(A800000[00100])","Entity[572851] Report(A800000[00200])","Entity[572851] Report(A800000[00300])","Entity[572851] Report(A800000[00400])","Entity[572851] Report(A800000[00500])", , , , , , , , , , , , , , 
 ,"A","-26783","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
 , ,"-124934233", , , , , , , , , , , , , , , , , 
 , ,"20233528", , , , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-1511055","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-9402","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-200","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-14522","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-1540","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-1940","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-11846","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-4220","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-2031","CT SCAN","57", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-2815","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-900","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-508","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-612447","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-3905","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-15589","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-454","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-2513","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-4602","NEUROMUSCULAR (ALS) CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-227","CHF CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-350","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-5350","PAIN MANAGEMENT","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-56","LIVER CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-98988","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-60698","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-11203","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-2215","WOMENS INST BALLANTYNE","192", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-1435","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-4898","UNDERGRAD MEDED","194", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-598","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.22 PATIENT ADJUSTMENTS","A","-1226","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-62216","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-101","HOUSEKEEPING","9", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-661","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-225","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-2479","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-116","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-116","PEDIATRIC INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-65","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-201","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-116","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-1907","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-5337","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-346","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-58","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-347","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-101","EMERGENCY-SUBPROVIDER","91", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-54","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 300.22 CORP EVENT/RETREAT","A","-1516","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-22965","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-14229","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-218","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-5400","MEDICAL RECORDS & LIBRARY","16", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-4947","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-162029","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-262","PARAMED ED PRGM-(SPECIFY)","23", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-95","PARAMED CRNA","23", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-254","PARAMED PHARMACY","23", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-6687","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-374","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-18495","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-13065","PEDIATRIC INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-8544","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-3653","BONE MARROW TRANSPLANT","50", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-28","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-245170","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-150","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-1325","ENDOSCOPY","76", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-181","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-13926","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-7218","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-35471","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-49064","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-1673","CLINIC - DENTISTRY","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-7605","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-3038","POST TRANSPLANT CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-2081","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-2470","CMC ORTHOPEDICS","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-12500","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-585","NEUROMUSCULAR (ALS) CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-463","CHF CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-23712","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-12654","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-1951","EMERGENCY-SUBPROVIDER","91", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-1754","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-118396","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-46295","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-1997","MERCY HOSPITAL SOUTH","194", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-5851","UNION REGIONAL MEDICAL CENTER","194", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-6068","UNDERGRAD MEDED","194", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-295","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
